Simulation,Phase,Kp_phi_x,Kp_phi_y,Kp_phi_z,Kd_phi_x,Kd_phi_y,Kd_phi_z,Kp_omega_x,Kp_omega_y,Kp_omega_z,Kd_omega_x,Kd_omega_y,Kd_omega_z,Cost,FinalAttitudeError,MaxAngularRate,TotalPower,Stable,IsBest
1,exploration,1.5092e-006,8.42263e-006,1.66841e-008,0.0458519,0.00442835,0.000208641,6.06698e-007,3.85441e-007,5.63938e-007,0.00115195,0.0142552,1.33011e-005,0.74794,0.965505,0.00421171,0,1,1
2,exploration,6.10633e-006,1.06556e-007,5.15099e-007,1.19953e-005,0.000456329,1.07476e-005,2.17829e-006,5.27157e-006,7.25868e-008,0.000220892,0.00403572,0.00828447,0.551736,0.751453,0.00173142,0,1,1
3,exploration,1.27997e-006,1.4202e-006,6.55497e-007,0.000648369,0.0348198,1.84767e-005,4.68948e-008,1.02111e-007,2.01709e-006,0.0307799,0.00484968,0.0202987,0.593756,0.704234,0.00182499,0,1,0
4,exploration,2.71996e-008,1.19417e-006,2.1498e-006,1.0222e-005,0.00316405,0.0101473,3.03125e-007,1.84047e-006,8.48799e-006,2.44356e-005,0.000703378,5.15039e-005,0.96916,0.999899,0.00183452,0,1,0
5,exploration,2.23181e-007,2.37347e-006,2.37362e-008,0.0219627,0.000929053,3.27951e-005,5.35208e-007,4.24e-007,1.98233e-006,0.000397335,0.00906111,0.000588285,0.708622,0.997292,0.00230754,0,1,0
6,exploration,4.21498e-008,5.92673e-006,2.54372e-008,0.035571,0.0155637,0.00065629,1.04294e-007,8.92333e-008,4.36537e-007,0.0225165,0.000996347,0.0336222,0.72965,0.791852,0.00597715,0,1,0
7,exploration,1.50653e-006,3.47031e-008,3.61364e-006,0.000243071,0.000250881,0.000274673,7.29989e-006,1.91817e-006,1.96415e-006,0.00245994,0.00113685,6.53771e-005,0.961823,0.999851,0.0026825,0,1,0
8,exploration,2.40069e-007,1.60112e-006,9.30864e-006,7.58003e-005,0.00219466,0.0452832,1.53573e-007,3.33599e-006,5.88086e-006,3.64385e-005,0.0117267,0.0317257,1e+099,nan,4.7255e+091,0,0,0
9,exploration,2.35193e-006,1.66037e-008,1.0878e-006,0.0362344,0.018841,0.00016776,1.15294e-007,1.08184e-006,4.09556e-007,0.000294336,0.00500078,0.000158598,0.848437,0.969959,0.00232379,0,1,0
10,exploration,2.41745e-006,4.22091e-008,5.71245e-008,0.0211627,4.23198e-005,0.00023082,4.33025e-007,7.94627e-008,1.22889e-007,2.20087e-005,0.000151477,0.00194915,0.77311,0.870325,0.0045458,0,1,0
11,exploration,3.34699e-006,8.81893e-006,1.27984e-006,0.0122508,0.000174934,0.0293574,4.71483e-008,1.14964e-007,2.27272e-007,0.000230022,7.89795e-005,0.000734939,0.735726,0.63525,0.00433388,0,1,0
12,exploration,5.1986e-007,4.60916e-008,1.08604e-007,0.000297779,0.0284274,0.0774403,1.02737e-008,8.66135e-006,1.08634e-006,2.55534e-005,0.0015801,5.77112e-005,0.578344,0.69532,0.00193946,0,1,0
13,exploration,5.43861e-008,9.35025e-007,4.40134e-006,0.000383512,0.0112325,0.00148458,1.48696e-006,1.04461e-007,1.34999e-008,0.00871266,0.0975314,0.00403936,0.60059,0.915772,0.00762864,0,1,0
14,local,8.77266e-006,1.48109e-008,6.47421e-007,1.47799e-005,0.000521133,1e-005,3.60044e-007,4.93244e-006,4.20422e-008,0.000268425,0.00292266,0.0135278,0.662411,0.844004,0.0025353,0,1,0
15,local,7.23122e-006,8.00123e-008,1e-008,1.36816e-005,0.000402152,1.86002e-005,1.49597e-006,4.37772e-006,7.54852e-008,0.000162978,0.00228142,0.0111165,0.808914,0.498274,0.00457295,0,1,0
16,local,8.69985e-006,8.52812e-008,5.16885e-007,1.28847e-005,0.000425019,1e-005,1.72028e-006,8.29249e-006,1.32308e-007,0.000223534,0.000818682,0.0109218,0.548447,0.618566,0.00175449,0,1,1
17,local,1e-005,5.43986e-008,9.95659e-007,1.17284e-005,0.000429761,1e-005,2.04594e-006,1e-005,1.87813e-007,0.000322634,0.00101991,0.00753506,0.552963,0.814677,0.00172911,0,1,0
18,local,5.8217e-007,8.62827e-008,5.28273e-007,1.41461e-005,0.00048675,1e-005,2.24233e-006,6.01553e-006,1.08144e-007,0.000234487,0.000900278,0.0104006,0.572767,0.849817,0.00166801,0,1,0
19,local,2.76483e-006,7.37031e-008,2.09001e-007,1e-005,0.000609309,1.30132e-005,8.26561e-007,6.19287e-006,1.68103e-007,0.000117505,0.00101221,0.00571027,0.556265,0.695493,0.00181087,0,1,0
20,local,9.58147e-006,9.6403e-008,6.32769e-007,1e-005,0.000541544,1.93521e-005,1.55705e-006,9.79467e-007,1.91999e-007,0.000258382,0.00071402,0.0105204,0.704609,0.606386,0.00443729,0,1,0
